Num_Threads,Size,Data Type,Time
1,100,char,0.000003036
1,1000,char,0.000008486
1,10000,char,0.000031841
1,100000,char,0.000211091
1,1000000,char,0.002146112
1,10000000,char,0.021634061
1,100000000,char,0.219119273
1,100,short,0.000002746
1,1000,short,0.000006993
1,10000,short,0.000022863
1,100000,short,0.000217063
1,1000000,short,0.002209904
1,10000000,short,0.021423487
1,100000000,short,0.217018825
1,100,int,0.000002795
1,1000,int,0.000005250
1,10000,int,0.000022724
1,100000,int,0.000221922
1,1000000,int,0.002293233
1,10000000,int,0.021676715
1,100000000,int,0.216638289
1,100,float,0.000002765
1,1000,float,0.000005200
1,10000,float,0.000022773
1,100000,float,0.000211973
1,1000000,float,0.002221646
1,10000000,float,0.022218807
1,100000000,float,0.222640123
1,100,double,0.000003096
1,1000,double,0.000005230
1,10000,double,0.000023084
1,100000,double,0.000213236
1,1000000,double,0.002305385
1,10000000,double,0.021875902
1,100000000,double,0.212396734
2,100,char,0.000087506
2,1000,char,0.000079191
2,10000,char,0.000099619
2,100000,char,0.000213526
2,1000000,char,0.001443395
2,10000000,char,0.011241184
2,100000000,char,0.108477318
2,100,short,0.000087527
2,1000,short,0.000092656
2,10000,short,0.000106973
2,100000,short,0.000245797
2,1000000,short,0.001496106
2,10000000,short,0.011184306
2,100000000,short,0.108095920
2,100,int,0.000103827
2,1000,int,0.000081044
2,10000,int,0.000089770
2,100000,int,0.000221091
2,1000000,int,0.001218949
2,10000000,int,0.011397001
2,100000000,int,0.108706327
2,100,float,0.000080753
2,1000,float,0.000090912
2,10000,float,0.000089130
2,100000,float,0.000345835
2,1000000,float,0.001302418
2,10000000,float,0.011264457
2,100000000,float,0.107803921
2,100,double,0.000087927
2,1000,double,0.000105431
2,10000,double,0.000106983
2,100000,double,0.000202666
2,1000000,double,0.001498641
2,10000000,double,0.011297695
2,100000000,double,0.115936607
4,100,char,0.000230058
4,1000,char,0.000275676
4,10000,char,0.000240327
4,100000,char,0.000316712
4,1000000,char,0.001074755
4,10000000,char,0.006002960
4,100000000,char,0.066918868
4,100,short,0.000246168
4,1000,short,0.000214878
4,10000,short,0.000254554
4,100000,short,0.000289971
4,1000000,short,0.000975806
4,10000000,short,0.008259458
4,100000000,short,0.075291312
4,100,int,0.000220660
4,1000,int,0.000209378
4,10000,int,0.000230598
4,100000,int,0.000266968
4,1000000,int,0.000874574
4,10000000,int,0.006175958
4,100000000,int,0.056253542
4,100,float,0.000222633
4,1000,float,0.000215600
4,10000,float,0.000225028
4,100000,float,0.000308206
4,1000000,float,0.000949867
4,10000000,float,0.006972047
4,100000000,float,0.055720655
4,100,double,0.000220600
4,1000,double,0.000282657
4,10000,double,0.000225239
4,100000,double,0.000277989
