2025-05-27T22:24:20+08:00
Running ./build/bench
Run on (20 X 5100 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x10)
  L1 Instruction 32 KiB (x10)
  L2 Unified 2048 KiB (x10)
  L3 Unified 24576 KiB (x1)
Load Average: 10.87, 5.18, 2.07
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"encode_1cNxN/128",7998,0.118545,0.0836395,ms,,,,,
"encode_1cNxN/256",2080,0.661442,0.390418,ms,,,,,
"encode_1cNxN/512",533,1.34114,1.27169,ms,,,,,
"encode_1cNxN/1024",130,5.50914,5.28603,ms,,,,,
"encode_1cNxN/2048",47,14.7151,14.3872,ms,,,,,
"encode_1cNxN/4096",13,51.0472,50.8252,ms,,,,,
"encode_1cNxN/8192",4,214.94,194.194,ms,,,,,
"encode_1cNxN_BigO",,3.19508,2.90415,N^2,,,,,
"encode_1cNxN_RMS",,3.3916e-05,3.85848e-05,,,,,,
"decode_1cNxN/128",14416,0.0483817,0.0483805,ms,,,,,
"decode_1cNxN/256",3786,0.183585,0.18358,ms,,,,,
"decode_1cNxN/512",952,0.726209,0.726177,ms,,,,,
"decode_1cNxN/1024",236,2.95828,2.958,ms,,,,,
"decode_1cNxN/2048",53,13.2251,13.2238,ms,,,,,
"decode_1cNxN/4096",10,71.4946,71.4807,ms,,,,,
"decode_1cNxN/8192",3,280.436,280.425,ms,,,,,
"decode_1cNxN_BigO",,4.17958,4.17936,N^2,,,,,
"decode_1cNxN_RMS",,3.40768e-05,3.40611e-05,,,,,,
"encode_Nc4096x4096/1",13,52.0449,51.1022,ms,,,,,
"encode_Nc4096x4096/3",15,47.2695,46.6735,ms,,,,,
"encode_Nc4096x4096/4",11,67.9572,65.019,ms,,,,,
"encode_Nc4096x4096_BigO",,5.57572e+07,5.42649e+07,(1),,,,,
"encode_Nc4096x4096_RMS",,0.00015862,0.000144039,,,,,,
"decode_Nc4096x4096/1",10,71.6865,71.6847,ms,,,,,
"decode_Nc4096x4096/3",9,73.7036,73.7018,ms,,,,,
"decode_Nc4096x4096/4",7,104.606,104.603,ms,,,,,
"decode_Nc4096x4096_BigO",,8.3332e+07,8.33299e+07,(1),,,,,
"decode_Nc4096x4096_RMS",,0.000180788,0.000180788,,,,,,
"encode_1cNxM/240/4860",100,5.94309,5.79488,ms,,,,,
"encode_1cNxM/360/3240",116,5.97983,5.80728,ms,,,,,
"encode_1cNxM/480/2430",116,5.90673,5.79282,ms,,,,,
"encode_1cNxM/720/1620",116,5.96613,5.84709,ms,,,,,
"encode_1cNxM/810/1440",117,6.05242,5.9872,ms,,,,,
"encode_1cNxM/1080/1080",137,6.11798,5.94294,ms,,,,,
"encode_1cNxM/1440/810",100,5.88738,5.66668,ms,,,,,
"encode_1cNxM/1620/720",116,5.54134,5.35543,ms,,,,,
"encode_1cNxM/2430/480",114,6.12793,5.95618,ms,,,,,
"encode_1cNxM/3240/360",116,6.19391,5.95188,ms,,,,,
"encode_1cNxM/4860/240",114,4.88447,4.79674,ms,,,,,
"encode_1cNxM_BigO",,5.03501,4.90235,N,,,,,
"encode_1cNxM_RMS",,6.01734e-05,5.90343e-05,,,,,,
"decode_1cNxM/240/4860",215,3.27854,3.27824,ms,,,,,
"decode_1cNxM/360/3240",213,3.27555,3.27526,ms,,,,,
"decode_1cNxM/480/2430",208,3.3613,3.36121,ms,,,,,
"decode_1cNxM/720/1620",211,3.31701,3.31688,ms,,,,,
"decode_1cNxM/810/1440",211,3.373,3.36021,ms,,,,,
"decode_1cNxM/1080/1080",209,3.33929,3.33917,ms,,,,,
"decode_1cNxM/1440/810",208,3.37457,3.37446,ms,,,,,
"decode_1cNxM/1620/720",209,3.41439,3.41079,ms,,,,,
"decode_1cNxM/2430/480",203,3.43925,3.43912,ms,,,,,
"decode_1cNxM/3240/360",210,3.32394,3.32377,ms,,,,,
"decode_1cNxM/4860/240",207,3.41672,3.41627,ms,,,,,
"decode_1cNxM_BigO",,2.87704,2.87562,N,,,,,
"decode_1cNxM_RMS",,1.55588e-05,1.53894e-05,,,,,,
