name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"encode_1cNxN/128",6165,0.23795,0.106559,ms,,,,,
"encode_1cNxN/256",2369,0.758894,0.384887,ms,,,,,
"encode_1cNxN/512",498,1.55079,1.40533,ms,,,,,
"encode_1cNxN/1024",129,5.58503,5.41169,ms,,,,,
"encode_1cNxN/2048",48,16.8685,16.3001,ms,,,,,
"encode_1cNxN/4096",14,53.1884,52.592,ms,,,,,
"encode_1cNxN/8192",4,216.542,196.351,ms,,,,,
"decode_1cNxN/128",14547,0.0479991,0.0479984,ms,,,,,
"decode_1cNxN/256",3835,0.184079,0.184075,ms,,,,,
"decode_1cNxN/512",952,0.739492,0.73946,ms,,,,,
"decode_1cNxN/1024",232,2.97347,2.97135,ms,,,,,
"decode_1cNxN/2048",54,12.8546,12.8521,ms,,,,,
"decode_1cNxN/4096",10,70.825,70.8202,ms,,,,,
"decode_1cNxN/8192",2,281.889,281.879,ms,,,,,
"encode_Nc4096x4096/1",14,53.9841,51.9204,ms,,,,,
"encode_Nc4096x4096/3",15,46.7625,46.1563,ms,,,,,
"encode_Nc4096x4096/4",11,65.2344,65.2128,ms,,,,,
"decode_Nc4096x4096/1",10,70.3348,70.3334,ms,,,,,
"decode_Nc4096x4096/3",9,73.3959,73.393,ms,,,,,
"decode_Nc4096x4096/4",7,102.836,102.83,ms,,,,,
"encode_1cNxM/240/4860",121,5.57577,5.40615,ms,,,,,
"encode_1cNxM/360/3240",100,5.23435,5.11373,ms,,,,,
"encode_1cNxM/480/2430",153,5.85191,5.57723,ms,,,,,
"encode_1cNxM/720/1620",166,5.97173,5.77097,ms,,,,,
"encode_1cNxM/810/1440",115,6.15464,5.92668,ms,,,,,
"encode_1cNxM/1080/1080",114,5.41722,5.26515,ms,,,,,
"encode_1cNxM/1440/810",116,5.51313,5.25553,ms,,,,,
"encode_1cNxM/1620/720",116,5.01564,4.90025,ms,,,,,
"encode_1cNxM/2430/480",100,6.146,5.92299,ms,,,,,
"encode_1cNxM/3240/360",115,5.03166,4.84725,ms,,,,,
"encode_1cNxM/4860/240",100,5.39106,5.17257,ms,,,,,
"decode_1cNxM/240/4860",216,3.25749,3.25744,ms,,,,,
"decode_1cNxM/360/3240",211,3.2993,3.29914,ms,,,,,
"decode_1cNxM/480/2430",207,3.37507,3.37502,ms,,,,,
"decode_1cNxM/720/1620",210,3.32102,3.32083,ms,,,,,
"decode_1cNxM/810/1440",211,3.35515,3.35498,ms,,,,,
"decode_1cNxM/1080/1080",210,3.32137,3.32131,ms,,,,,
"decode_1cNxM/1440/810",209,3.34407,3.34396,ms,,,,,
"decode_1cNxM/1620/720",210,3.33028,3.33018,ms,,,,,
"decode_1cNxM/2430/480",208,3.37107,3.37094,ms,,,,,
"decode_1cNxM/3240/360",211,3.33326,3.3332,ms,,,,,
"decode_1cNxM/4860/240",207,3.39281,3.3927,ms,,,,,
