host,function,duration_formatted(us),M,N
zaddle-Ubuntu-Satus,test_encode_1cNxN,111.6220,,128
zaddle-Ubuntu-Satus,test_encode_1cNxN,95.5837,,256
zaddle-Ubuntu-Satus,test_encode_1cNxN,165.8910,,512
zaddle-Ubuntu-Satus,test_encode_1cNxN,536.4820,,1024
zaddle-Ubuntu-Satus,test_encode_1cNxN,2186.2310,,2048
zaddle-Ubuntu-Satus,test_encode_1cNxN,8007.3857,,4096
zaddle-Ubuntu-Satus,test_encode_1cNxN,31137.5857,,8192
zaddle-Ubuntu-Satus,test_decode_1cNxN,11.9398,,128
zaddle-Ubuntu-Satus,test_decode_1cNxN,30.2964,,256
zaddle-Ubuntu-Satus,test_decode_1cNxN,106.1074,,512
zaddle-Ubuntu-Satus,test_decode_1cNxN,427.4963,,1024
zaddle-Ubuntu-Satus,test_decode_1cNxN,1687.3446,,2048
zaddle-Ubuntu-Satus,test_decode_1cNxN,12263.0737,,4096
zaddle-Ubuntu-Satus,test_decode_1cNxN,50444.1808,,8192
zaddle-Ubuntu-Satus,test_encode_Nc4096x4096,10550.6043,,1
zaddle-Ubuntu-Satus,test_encode_Nc4096x4096,24784.0937,,3
zaddle-Ubuntu-Satus,test_encode_Nc4096x4096,33417.0733,,4
zaddle-Ubuntu-Satus,test_decode_Nc4096x4096,12476.1909,,1
zaddle-Ubuntu-Satus,test_decode_Nc4096x4096,27887.5218,,3
zaddle-Ubuntu-Satus,test_decode_Nc4096x4096,34026.1617,,4
zaddle-Ubuntu-Satus,test_encode_1cNxM,753.0603,4860,240
zaddle-Ubuntu-Satus,test_encode_1cNxM,611.9703,3240,360
zaddle-Ubuntu-Satus,test_encode_1cNxM,631.3613,2430,480
zaddle-Ubuntu-Satus,test_encode_1cNxM,600.9860,1620,720
zaddle-Ubuntu-Satus,test_encode_1cNxM,595.7723,1440,810
zaddle-Ubuntu-Satus,test_encode_1cNxM,595.8197,1080,1080
zaddle-Ubuntu-Satus,test_encode_1cNxM,600.0127,810,1440
zaddle-Ubuntu-Satus,test_encode_1cNxM,594.1383,720,1620
zaddle-Ubuntu-Satus,test_encode_1cNxM,631.3613,480,2430
zaddle-Ubuntu-Satus,test_encode_1cNxM,590.5723,360,3240
zaddle-Ubuntu-Satus,test_encode_1cNxM,584.5360,240,4860
zaddle-Ubuntu-Satus,test_decode_1cNxM,519.2513,4860,240
zaddle-Ubuntu-Satus,test_decode_1cNxM,503.7923,3240,360
zaddle-Ubuntu-Satus,test_decode_1cNxM,487.5178,2430,480
zaddle-Ubuntu-Satus,test_decode_1cNxM,480.4621,1620,720
zaddle-Ubuntu-Satus,test_decode_1cNxM,464.9759,1440,810
zaddle-Ubuntu-Satus,test_decode_1cNxM,467.0751,1080,1080
zaddle-Ubuntu-Satus,test_decode_1cNxM,448.3216,810,1440
zaddle-Ubuntu-Satus,test_decode_1cNxM,450.3138,720,1620
zaddle-Ubuntu-Satus,test_decode_1cNxM,423.7687,480,2430
zaddle-Ubuntu-Satus,test_decode_1cNxM,409.1829,360,3240
zaddle-Ubuntu-Satus,test_decode_1cNxM,402.0850,240,4860
