host,function,duration_formatted(us),M,N
zaddle-Ubuntu-Satus,test_encode_1cNxN,29.056,,128
zaddle-Ubuntu-Satus,test_encode_1cNxN,61.780,,256
zaddle-Ubuntu-Satus,test_encode_1cNxN,187.42,,512
zaddle-Ubuntu-Satus,test_encode_1cNxN,653.49,,1024
zaddle-Ubuntu-Satus,test_encode_1cNxN,2464.4,,2048
zaddle-Ubuntu-Satus,test_encode_1cNxN,9260.2,,4096
zaddle-Ubuntu-Satus,test_encode_1cNxN,43402,,8192
zaddle-Ubuntu-Satus,test_decode_1cNxN,18.660,,128
zaddle-Ubuntu-Satus,test_decode_1cNxN,67.405,,256
zaddle-Ubuntu-Satus,test_decode_1cNxN,256.29,,512
zaddle-Ubuntu-Satus,test_decode_1cNxN,1034.2,,1024
zaddle-Ubuntu-Satus,test_decode_1cNxN,4299.8,,2048
zaddle-Ubuntu-Satus,test_decode_1cNxN,27834,,4096
zaddle-Ubuntu-Satus,test_decode_1cNxN,110520,,8192
zaddle-Ubuntu-Satus,test_encode_Nc4096x4096,10233.6043,,1
zaddle-Ubuntu-Satus,test_encode_Nc4096x4096,86807.0937,,3
zaddle-Ubuntu-Satus,test_encode_Nc4096x4096,45303.0733,,4
zaddle-Ubuntu-Satus,test_decode_Nc4096x4096,27821.1909,,1
zaddle-Ubuntu-Satus,test_decode_Nc4096x4096,35131.5218,,3
zaddle-Ubuntu-Satus,test_decode_Nc4096x4096,45992.1617,,4
zaddle-Ubuntu-Satus,test_encode_1cNxM,717.74,4860,240
zaddle-Ubuntu-Satus,test_encode_1cNxM,715.22,3240,360
zaddle-Ubuntu-Satus,test_encode_1cNxM,709.58,2430,480
zaddle-Ubuntu-Satus,test_encode_1cNxM,715.49,1620,720
zaddle-Ubuntu-Satus,test_encode_1cNxM,716.22,1440,810
zaddle-Ubuntu-Satus,test_encode_1cNxM,795.98,1080,1080
zaddle-Ubuntu-Satus,test_encode_1cNxM,924.73,810,1440
zaddle-Ubuntu-Satus,test_encode_1cNxM,901.12,720,1620
zaddle-Ubuntu-Satus,test_encode_1cNxM,959.73,480,2430
zaddle-Ubuntu-Satus,test_encode_1cNxM,918.97,360,3240
zaddle-Ubuntu-Satus,test_encode_1cNxM,954.22,240,4860
zaddle-Ubuntu-Satus,test_decode_1cNxM,1205.4,4860,240
zaddle-Ubuntu-Satus,test_decode_1cNxM,1189.1,3240,360
zaddle-Ubuntu-Satus,test_decode_1cNxM,1174.0,2430,480
zaddle-Ubuntu-Satus,test_decode_1cNxM,1169.1,1620,720
zaddle-Ubuntu-Satus,test_decode_1cNxM,1163.4,1440,810
zaddle-Ubuntu-Satus,test_decode_1cNxM,1152.5,1080,1080
zaddle-Ubuntu-Satus,test_decode_1cNxM,1158.1,810,1440
zaddle-Ubuntu-Satus,test_decode_1cNxM,1155.3,720,1620
zaddle-Ubuntu-Satus,test_decode_1cNxM,1150.4,480,2430
zaddle-Ubuntu-Satus,test_decode_1cNxM,1166.1,360,3240
zaddle-Ubuntu-Satus,test_decode_1cNxM,1143.1,240,4860
